order_item_id,order_id,product_id,quantity
1,1,23,1
2,2,30,3
3,2,17,3
4,2,4,5
5,3,10,4
6,4,13,4
7,4,27,2
8,4,22,5
9,4,1,2
10,5,24,5
11,5,13,3
12,6,10,3
13,6,22,1
14,7,4,1
15,7,2,5
16,8,18,3
17,8,3,2
18,8,10,4
19,8,7,5
20,9,6,5
21,9,8,3
22,10,4,5
23,10,6,1
24,11,21,1
25,11,18,3
26,11,3,1
27,11,10,2
28,12,11,2
29,12,12,1
30,12,5,3
31,12,22,5
32,13,29,2
33,14,16,5
34,14,15,3
35,14,11,5
36,15,19,3
37,15,12,4
38,16,1,2
39,16,11,2
40,17,9,3
41,17,27,4
42,17,12,4
43,17,5,4
44,18,25,5
45,18,10,1
46,18,16,2
47,19,27,3
48,20,29,2
49,20,18,3
50,21,24,1
51,22,28,5
52,23,27,5
53,24,25,1
54,24,19,5
55,24,7,3
56,24,30,5
57,25,21,4
58,25,25,2
59,25,5,5
60,25,12,3
61,26,15,5
62,26,17,1
63,27,12,2
64,27,17,5
65,27,1,2
66,27,22,5
67,28,15,2
68,28,6,5
69,29,24,3
70,29,16,1
71,30,25,2
72,30,16,1
73,31,12,2
74,31,8,5
75,31,2,3
76,32,16,1
77,32,30,1
78,32,15,3
79,32,29,1
80,33,27,5
81,33,24,5
82,33,9,5
83,34,13,4
84,34,21,3
85,35,17,3
86,36,30,3
87,36,8,3
88,36,17,4
89,36,13,4
90,37,17,2
91,38,6,3
92,38,8,2
93,38,3,2
94,38,17,2
95,39,12,1
96,39,20,2
97,40,26,4
98,40,11,4
99,40,24,4
100,40,4,2
101,41,21,4
102,41,27,1
103,42,2,5
104,42,5,5
105,43,5,5
106,43,21,1
107,44,2,3
108,44,6,2
109,45,20,3
110,45,19,1
111,45,21,2
112,45,1,4
113,46,28,4
114,46,16,5
115,46,6,2
116,46,8,5
117,47,20,5
118,47,22,3
119,48,24,3
120,48,22,4
121,49,8,4
122,50,5,5
123,50,4,5
124,50,1,4
125,50,7,2
126,51,6,4
127,52,29,5
128,53,3,4
129,54,29,5
130,54,20,1
131,55,17,1
132,55,14,5
133,55,12,4
134,55,28,2
135,56,26,5
136,56,25,5
137,56,13,1
138,56,12,4
139,57,9,2
140,57,16,1
141,58,20,4
142,58,29,3
143,58,18,2
144,59,23,1
145,60,17,1
146,61,21,3
147,61,7,4
148,61,23,3
149,61,26,1
150,62,14,5
151,62,21,3
152,63,28,5
153,63,18,3
154,63,14,5
155,64,22,2
156,64,13,4
157,64,25,5
158,65,6,3
159,65,12,3
160,65,18,5
161,65,16,3
162,66,24,1
163,66,5,2
164,66,28,4
165,66,22,2
166,67,7,5
167,68,26,1
168,68,11,2
169,68,18,4
170,68,20,1
171,69,27,2
172,70,30,1
173,70,20,3
174,70,14,2
175,70,3,3
176,71,20,1
177,72,30,5
178,72,13,3
179,72,20,5
180,72,21,1
181,73,21,4
182,73,16,1
183,74,28,5
184,74,22,3
185,75,2,5
186,75,26,5
187,76,20,1
